Index,Therapy,,,,,
0,Cognitive Behavioral Therapy,,,,,
1,cbt,,,,,
2,Dialectical Behavior Therapy,,,,,
3,dbt,,,,,
4,Acceptance and Commitment Therapy,,,,,
5,Psychodynamic Therapy,,,,,
6,Family Therapy,,,,,
7,ABA therapy,,,,,
8,Accelerated experiential dynamic psychotherapy,,,,,
9,aedp,,,,,
10,Adlerian therapy,,,,,
11,Anger management,,,,,
12,Art therapy,,,,,
13,Attachment therapy,,,,,
14,Aversion therapy,,,,,
15,Behavioral therapy,,,,,
16,Bereavement therapy,,,,,
17,Bibliotherapy,,,,,
18,Bioenergetic therapy,,,,,
19,Bowenian family therapy,,,,,
20,Brainspotting therapy,,,,,
21,Client-centered therapy,,,,,
22,Cognitive processing therapy,,,,,
23,Compassion-focused therapy,,,,,
24,cft,,,,,
25,Couples therapy,,,,,
26,Dance therapy,,,,,
27,Drama therapy,,,,,
28,Eclectic therapy,,,,,
29,Eye movement desensitization and reprocessing therapy,,,,,
30,emdr,,,,,
31,Emotionally focused therapy,,,,,
32,Exposure therapy,,,,,
33,Expressive arts therapy,,,,,
34,Feminist therapy,,,,,
35,Gestalt therapy,,,,,
36,Group therapy,,,,,
37,Hakomi therapy,,,,,
38,Healing touch therapy,,,,,
39,Holistic therapy,,,,,
40,Humanistic therapy,,,,,
41,Imago therapy,,,,,
42,Integrative therapy,,,,,
43,Interpersonal and social rhythm therapy,,,,,
44,Interpersonal therapy,,,,,
45,Jungian therapy,,,,,
46,Logotherapy,,,,,
47,Mindfulness-based cognitive therapy,,,,,
48,Mbct ,,,,,
49,Motivational enhancement therapy,,,,,
50,Music therapy,,,,,
51,Narrative therapy,,,,,
52,Nature therapy,,,,,
53,Play therapy,,,,,
54,Primal therapy,,,,,
55,Problem-solving therapy,,,,,
56,Problem solving therapy,,,,,
57,Psychedelic therapy,,,,,
58,Rational emotive behavior therapy,,,,,
59,Reality therapy,,,,,
60,Regression therapy,,,,,
61,Relational therapy,,,,,
62,Reminiscence therapy,,,,,
63,Sand tray therapy,,,,,
64,Schema-focused therapy,,,,,
65,Schema focused therapy,,,,,
66,Sex therapy,,,,,
67,Sex addiction therapy,,,,,
68,Sleep therapy,,,,,
69,Solution focused brief therapy,,,,,
70,Somatic therapy,,,,,
71,Strengths-based therapy,,,,,
72,Strengths based therapy,,,,,
73,Supportive-expressive therapy,,,,,
74,Supportive expressive therapy,,,,,
75,Systemic therapy,,,,,
76,Transference-focused therapy,,,,,
77,Transference focused therapy,,,,,
78,Trauma therapy,,,,,
79,Teletherapy,,,,,
80,Yoga therapy,,,,,
