,Comment,Author,Post
0,"Australia is honestly the best place to be when it comes to suffering from BPD and not being able to work. Centrelink is not offered in any countries besides Australia - it may be considered poverty but in hard times I have been fortunate enough to depend on this as income.

I am unsure what DBT is but I’m sorry to hear what you are going through and especially when you feel alone. I hope everything turns out a bit better for you, I find watching motivation videos on YouTube / instragram or looking at quotes really help me to feel better about my entire existence. Maybe give this a go?",Delicious-Visit-4740,1cpxs35
1,"I’m sorry you’re having a tough time. I can relate to a lot of what you just said.

I don’t have much advice other than can you get your hands on the workbook? There’s also DBT cards. Look up distress tolerance skills. I’ve made a distraction bag for when I’m spiraling. It’s got a fidget toy, sour candy, icy hot, a little toy I like, my book, and a stress ball. Good luck. I hope you find the support you need :)",JohnDwyersDanceMoves,1cpxs35
2,https://dialecticalbehaviortherapy.com/ I've been using this site. I find it helpful and free,GaxlaysHopper,1cpxs35
3,"Thank you, I’ve been watching DBT videos. DBT stands for Dialectical Behaviour Therapy. It’s the treatment made by Dr. Marsha Linehan for BPD sufferers. It’s not cheap, and I’ve been told to see if I can get it with my private health insurance. I will ring and see.",TiredSleepyGrumpy,1cpxs35
4,"Thank you. 😊 I will make a bag for myself. And I do have a workbook, but not “the workbook”. I will keep monitoring it until it’s a price I can afford. 😊

I really appreciate the tip. Hope you’re having an amazing day!",TiredSleepyGrumpy,1cpxs35
5,Thank you ☺️,TiredSleepyGrumpy,1cpxs35
6,"I was diagnosed at 16 and when I was 19 was in a inpatient program for longer than the program goes for because I was struggling so badly at the time and I remember the psychologist/ psychiatrist advising that it’s easier to overcome BPD when your younger, so you may not need this treatment but just some determination to better your mental wellbeing by seeking help and genuinely following through with it.

Just my thoughts if you’re worried about your financial situation but I hope it goes well for you if you do end up getting it! I’ll have a look into it",Delicious-Visit-4740,1cpxs35
7,Thank you for sharing. I *wish* I knew I had BPD when I was that age! That was decades ago now.,TiredSleepyGrumpy,1cpxs35
0,"You're chasing a label. Labels can be helpful for you to understand your problem. They can be helpful for other people to understand your problem. However, the box that you've been placed in by someone else is just that - it's a box. It's never usually as simple as someone having one problem and everyone's experience of mental health is unique. No two people with a labelled disorder are the same. 

Have you heard the statement ""all models are wrong, some are useful""? Well it's very true in the case of the DSM categorisations of disorders. Nobody is 100% BPD and 0% NPD because they share some traits. Nobody is 0% autistic. The DSM is actually more of a sensemaking framework than a categorisation framework. So there's not necessarily a right or wrong answer as to which pigeonhole a person fits into, it's just a way to try and make sense of the situation and help decide what to do next. 

Also, bear in mind that in a way the label gives you validation that you're right. In many cases NPD/BPD people were starved of validation from carers (especially parents) as children and many of their behaviours seek an outcome of validation, often from authority figures. Consider the idea that you could be seeking the validation of psychiatrists when actually it's more important that you recognise which patterns of thought are unhealthy and develop healthy coping strategies to manage them.

If you're being blocked from receiving treatment and going through a hard time I'm sorry for that. It can be difficult to know where to start with treatment. There are a huge number of resources online for  you to get started with helping yourself. If you're interested I can share some links. 

**TL;DR Drop the idea that a label is important unless it's stopping you from accessing treatment**",The_RealMe,gdqhxy
1,"It's great that you're getting a fresh evaluation and diagnosis, I can tell you attached you are to the label and how helpful it would feel to be validated.

Today, I would say that it is wrong and insensitive to people with a BPD diagnosis for you to claim a diagnosis you have not been given. The fact is that you might experience a different PD like OCPD or PD-NOS, it's also possible the feelings you shared are more related to other factors completely.

Good luck with the eval, you seem motivated to share and work with mental health professionals to validate your experience. Let us know how it goes",TranZeitgeist,gdqhxy
